Age,Gender,Course,Year,Marital Status,Grade,How often have you felt down or hopeless?,"How often have you had trouble falling or staying asleep, or slept too much?",How often have you felt tired or had little energy?,"How often have you felt nervous, anxious, or on edge?",How often have you become easily annoyed or irritable?,How frequently do you experience panic attacks?,"On average, how many hours per day do you spend on social media?",How many alcoholic drinks/beer do you consume in a typical week?,How many hours of sleep do you usually get on a typical night?,How many hours a day do you put aside for studying?
25,Male,Teacher Training,Third Year,Single,First Class,Frequently,Not at all?,Occasionally,Occasionally,Sometimes,Never,3-4 hours,1 to 2,Less than 5 hours,
21,Female,Teacher Training,Post Graduate,Single,First Class,Occasionally,Almost constantly,Occasionally,Occasionally,Sometimes,Never,3-4 hours,0,7-8 hours,1-2 hours
25,Female,Computer science ,Third Year,Single,Second Class Upper,Occasionally,Frequently,Occasionally,Occasionally,Sometimes,,3-4 hours,0,5-6 hours,3-4 hours
22,Female,Computer science ,First Year,Single,Second Class Upper,Occasionally,Frequently,Occasionally,Frequently,Sometimes,Rarely,9-10 hours,1 to 2,5-6 hours,3-4 hours
25,Male,business,Second Year,Single,Second Class Lower,Occasionally,Frequently,Occasionally,Not at all,Sometimes,Frequently,0-2 hours,0,5-6 hours,3-4 hours
20,Male,Electrical and Electronics Engineering ,Second Year,Single,Second Class Lower,,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,7-8 hours,1-2 hours
24,Female,Health science ,Post Graduate,Single,Second Class Upper,Occasionally,Not at all?,Frequently,,Always,Frequently,7-8 hours,0,7-8 hours,3-4 hours
54,Female,Computer Science ,Post Graduate,Single,Second Class Upper,,,Occasionally,Frequently,Sometimes,Rarely,5-6 hours,1 to 2,7-8 hours,3-4 hours
21,Female,EER,Post Graduate,Single,First Class,Occasionally,Almost constantly,Frequently,Occasionally,Sometimes,Frequently,3-4 hours,0,Less than 5 hours,7 and above
25,Male,MATHEMATICS AND COMPUTER SCIENCE,Fourth Year,Single,Second Class Lower,Occasionally,Not at all?,Occasionally,Occasionally,Sometimes,Never,0-2 hours,0,7-8 hours,1-2 hours
20,Male,Fine arts and design ,Third Year,Single,Second Class Lower,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Rarely,0-2 hours,0,5-6 hours,3-4 hours
22,Female,psychology,First Year,Single,First Class,Occasionally,Frequently,Occasionally,Frequently,Sometimes,Never,3-4 hours,0,Less than 5 hours,0
23,Female,Computer Science ,Fifth Year,Single,Second Class Upper,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Occasionally,7-8 hours,0,7-8 hours,5-6 hours
25,Female,Computer engineering??,Third Year,Single,Second Class Upper,Occasionally,Not at all?,Occasionally,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
23,Female,Electrical and electronics engineering ,Third Year,Married,Second Class Upper,Almost constantly,Almost constantly,,Occasionally,Sometimes,,10 or more,,7-8 hours,1-2 hours
19,Male,Architecture ,Post Graduate,Single,Second Class Upper,Occasionally,Frequently,Almost constantly,Frequently,Sometimes,Occasionally,7-8 hours,0,7-8 hours,0
25,Male,Criminology ,First Year,Single,Second Class Lower,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Never,3-4 hours,0,5-6 hours,3-4 hours
23,Female,Health science ,Third Year,Single,Second Class Upper,Occasionally,,Almost constantly,Almost constantly,Never,Occasionally,,1 to 2,5-6 hours,7 and above
22,Male,Mechanical Engineering,Post Graduate,Single,First Class,Occasionally,,Frequently,Occasionally,Sometimes,Occasionally,3-4 hours,0,7-8 hours,1-2 hours
20,Male,Accounting ,Second Year,Single,First Class,Occasionally,Occasionally,Almost constantly,Occasionally,Sometimes,Occasionally,7-8 hours,0,5-6 hours,1-2 hours
25,Female,Construction mgt,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,7-8 hours,0,Less than 5 hours,1-2 hours
28,Female,Medicine,Second Year,Married,Second Class Upper,Occasionally,Occasionally,Almost constantly,Frequently,Sometimes,Never,3-4 hours,0,Less than 5 hours,0
19,Female,Economics ,Fourth Year,Single,Second Class Upper,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Frequently,3-4 hours,5 to 6,5-6 hours,0
17,Male,Computer Science ,Post Graduate,Single,Second Class Lower,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Occasionally,3-4 hours,0,5-6 hours,5-6 hours
